| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| بەھدین | ناڤێ مرۆڤان | ناڤێ کەسایەتییەکێ ئایینێ زەردەشتی کو ب ڕامانا خودانێ ئایینێ باش دهێت. |
| بەھزاد | ناڤێ مرۆڤان | کەسێ ژ ڕەچەلەکەکا باش و بەگ زادە. |
| بەھمەن | ناڤێ مرۆڤان | ناڤێ مەهەکا کوردییە، ڕامانا کەسێ ب هێز ددەت. |
| بەیار | ناڤێ مرۆڤان | ئەو ئەردێ کو نەهاتییە چاندن. |
| بەیان | ناڤێ مرۆڤان | ڕۆناهییا سپێدێ کو پشتی تاریێ دهێت، هەروەسا ب ڕامانا ئاشکراکرنێ ژی دهێت. |
| بۆتان | ناڤێ مرۆڤان | ناڤێ دەڤەرەکا دیرۆکی و میرنشینەکا ب ناڤ و دەنگە د مێژوویا کوردان دا. |
| بیرڤان | ناڤێ مرۆڤان | کەسێ کو هزرڤانە یان بیرا تشتان دهینیتەڤە. |
| بیشەنگ | ناڤێ مرۆڤان | تشتێ د پێش دا یان ئەو کەسێ د ناڤ پێشەنگان دا بیت. |
| بینا | ناڤێ مرۆڤان | کەسێ خودان بیناهی و چاڤێن باش، یان چاڤپێدیتن. |
| بینەر | ناڤێ مرۆڤان | ئەو کەسێ کو سەحکەتە تشتەکی و دبینیت. |
| بێری | ناڤێ مرۆڤان | ژنا کو ل گۆڤەندێ یان ل چیایی بەرخی و پەزی ددۆشیت. |
| بێریڤان | ناڤێ مرۆڤان | ژنا خودانکەر و دۆشەرا پەزی ل زۆزانان. |
| بێکەس | ناڤێ مرۆڤان | کەسێ کو چ کەس و کار نینن و بتنێ یە. |
| بێوار | ناڤێ مرۆڤان | کەسێ کو بێ وار و جھ و نیشتیمانە. |
| پاسار | ناڤێ مرۆڤان | جهێ ل تەنیشتا ڕێیێ یان ل کەنارێ چیایی. |
| پاکساز | ناڤێ مرۆڤان | ئەو کەسێ کو کارێ پاقژکرن و پاککرنێ دکەت. |
| پالبەر | ناڤێ مرۆڤان | تشتێ کو ل پشتێ دهێتە دانان یان هاریکارە. |
| پالەوان | ناڤێ مرۆڤان | کەسێ ب هێز و زیرەک، قارەمان. |
| پاڵە | ناڤێ مرۆڤان | ئەو کەسێ کو کارێ دروێنێ یان ڕەنجبەریێ دکەت. |
| پاوان | ناڤێ مرۆڤان | پاراستنا جهەکی ل ژێر دەستهەلاتەکا تایبەت. |
| پایەبەرز | ناڤێ مرۆڤان | کەسێ ب ڕێز و خودان پلەیەکا بلند. |
| پرشەنگ | ناڤێ مرۆڤان | ڕووناهی یان تیشکا ڕۆژێ کو بەلاڤ دبیت. |
| پڕڤین | ناڤێ مرۆڤان | پڕ ڕووناهی یان تیشکا گەش. |
| پسپۆر | ناڤێ مرۆڤان | کەسێ زانا و شارەزا د بوارەکێ تایبەت دا. |
| پشتەڤان | ناڤێ مرۆڤان | ئەو کەسێ کو پشتەڤانیێ و هاریکاریێ دکەت. |
| پشتیوان | ناڤێ مرۆڤان | پشتەڤان و هاریکار و پالدەر. |
| پڵنگ | ناڤێ مرۆڤان | گیانەوەرەکێ دڕندە و ب هێزە، هێمایێ نەترسیێ یە. |
| پەروەر | ناڤێ مرۆڤان | پەروەردەکار و خودانکەر. |
| پەروین | ناڤێ مرۆڤان | کۆمەکا ستێرانە د ئەسمانی دا. |
| پەری | ناڤێ مرۆڤان | کەسەکا زۆر جوان و ئەفسانەیی وەک پەرییا. |
| پەریخان | ناڤێ مرۆڤان | ناڤەکێ جوانە ژ بۆ ژنان کو ڕامانا پەرییا خانەدان ددەت. |
| پەریناز | ناڤێ مرۆڤان | پەرییا کو ب ناز و ب قەدرە. |
| پەژار | ناڤێ مرۆڤان | خەم و کوڤان یان کەسێ ب خەم. |
| پەسار | ناڤێ مرۆڤان | جهێ پەناگەهێ و خۆپاراستنێ. |
| پەسند | ناڤێ مرۆڤان | تشتێ قەبوولکری و ب دلێ مرۆڤی. |
| پەنا | ناڤێ مرۆڤان | جهێ خۆڤەشارتنێ و خۆپاراستنێ. |
| پەنابەر | ناڤێ مرۆڤان | کەسێ کو جھ و وەلاتێ خوە بجهـ هێلای و ل پەناگەهەکێ دگەڕیت. |
| پەھلەوان | ناڤێ مرۆڤان | قارەمان و کەسێ ب هێز. |
| پەیام | ناڤێ مرۆڤان | نامە یان هەر دەنگوباسەکێ کو بۆ کەسەکی دهێتە هنارتن. |
| پەیڤان | ناڤێ مرۆڤان | پەیڤ و ئاخفتن. |
| پەیڤین | ناڤێ مرۆڤان | ئاخفتن و دانا پەیڤان ل گەل ئێک. |
| پەیمان | ناڤێ مرۆڤان | سۆز و ڕێککەفتن د ناڤبەرا دوو کەسان دا. |
| پەییڤ | ناڤێ مرۆڤان | وشە یان ئاخفتن. |
| پەییڤین | ناڤێ مرۆڤان | ئاخفتن و گۆتن. |
| پەییوەند | ناڤێ مرۆڤان | گرێدان و پەیوەندییا د ناڤبەرا تشتان دا. |
| پۆڵا | ناڤێ مرۆڤان | ئاسنێ ب هێز، ڕامانا کەسێ ب هێز و ڕەق. |
| پیران | ناڤێ مرۆڤان | کەسێن ب تەمەن و ب ئەزموون. |
| پیرس | ناڤێ مرۆڤان | ناڤێ چیایەکی یە ل باکوورێ کوردستانێ. |
| پیرۆ | ناڤێ مرۆڤان | ناڤەکێ کوردیێ ڕەسەنە یێ کەڤن. |
| پیرۆز | ناڤێ مرۆڤان | تشتێ پاقژ و ب قەدر. |
| پێشڕەو | ناڤێ مرۆڤان | کەسێ کو ل پێشیێ دچیت و ڕێبەرە. |
| پێشکەفت | ناڤێ مرۆڤان | تشتێ ب پێش کەفتی یان گەهشتییە ئاستەکێ باش. |
| پێشھات | ناڤێ مرۆڤان | ڕوودان و تشتێن کو دێ ڕوودەن. |
| پێشەنگ | ناڤێ مرۆڤان | کەسێ کو بەری هەمیان دەست ب کارەکی دکەت. |
| پێشەوا | ناڤێ مرۆڤان | ڕێبەر و سەرکردە. |
| پێشواز | ناڤێ مرۆڤان | کەسێ کو ل پێشوازییا مێڤانان دچیت. |
| پێکھات | ناڤێ مرۆڤان | پێکڤەهاتن و ڕێککەفتن یان ئەو تشتێ دروست بووی. |
| پێلین | ناڤێ مرۆڤان | پێلێن ئاڤێ یان با و بۆران. |
| پێناس | ناڤێ مرۆڤان | ناسینا تشتەکی یان پێناسەکرن. |
| تابلۆ | ناڤێ مرۆڤان | وێنەیەکێ جوانێ کێشایی. |
| تارا | ناڤێ مرۆڤان | ئەو خەملا کو ب سەرێ بووکێ ڤە دهێتە کرن. |
| تاژدین | ناڤێ مرۆڤان | ناڤەکێ کوردییە، ناڤێ برایێ مەمێ یە د داستانا مەم و زین دا. |
| تالان | ناڤێ مرۆڤان | برنا تشتان ب زۆری یان دەستبەسەرداگرتن. |
| تەڤگەڕ | ناڤێ مرۆڤان | لڤین و بزاڤکرن. |
| تەمەن | ناڤێ مرۆڤان | ژیێ مرۆڤی. |
| توانا | ناڤێ مرۆڤان | هێز و شیانێن کارکرنێ. |
| تۆڕین | ناڤێ مرۆڤان | کەسێ ژ ڕەچەلەکەکا باش و بەگ زادە. |
| تۆفان | ناڤێ مرۆڤان | بایێ ب هێز و دژوار دگەل بارانێ. |
| تیرێژ | ناڤێ مرۆڤان | تیشکا ڕۆژێ یان ڕووناهیێ. |
| تیڕۆژ | ناڤێ مرۆڤان | تیشکا ڕۆژێ کو ل دەمێ سپێدێ ل چیا ددەت. |
| تێکۆشەر | ناڤێ مرۆڤان | کەسێ کو خەبات و بزاڤێ دکەت بۆ ئارمانجەکێ. |
| جامێر | ناڤێ مرۆڤان | کەسێ ب ڕێز، مەرد و خودان باوەری. |
| جان | ناڤێ مرۆڤان | ڕوح و گیان، یان کەسێ جوان و شرین. |
| جانگیر | ناڤێ مرۆڤان | ئەو کەسێ کو گیان و ڕوحا مرۆڤی دگریت. |
| جانۆ | ناڤێ مرۆڤان | ناڤەکێ کوردییە ب ڕامانا کەسێ خۆشتڤی و جان. |
| جانێ | ناڤێ مرۆڤان | ناڤەکێ کچانە ب ڕامانا گیان و ڕوح، یان کەسا جوان. |
| جڤین | ناڤێ مرۆڤان | کۆمبوون و گەهشتنا کەسان ب ئێک. |
| جەگەر | ناڤێ مرۆڤان | جهێ ڤیانێ، یان تشتێ هەری شرین و خۆشتڤی. |
| جەگەرخوین | ناڤێ مرۆڤان | ناڤێ هۆزانڤانەکێ مەزنێ کوردە (جگەرخوین)، ب ڕامانا خەمگین و دلسۆژ. |
| جەمبەلی | ناڤێ مرۆڤان | ناڤێ کەسایەتییەکێ داستانەکا کوردی یە (جەمبەلی و خەجێ). |
| جەنگ | ناڤێ مرۆڤان | شەڕ و پەڤچوون. |
| جەنگاوەر | ناڤێ مرۆڤان | شەڕکەر و قارەمانێ د ناڤ جەنگی دا. |
| جەوھەر | ناڤێ مرۆڤان | ناڤەڕۆک و بنەمایێ تشتەکی، یان تشتێ گرانبها. |
| جوامێر | ناڤێ مرۆڤان | کەسێ نەترس و ب وەفا و مەرد. |
| جوان | ناڤێ مرۆڤان | تشتێ کو دیتنا وێ یا خوەش بیت و ڕوویەکێ جوان هەبیت. |
| جۆتیار | ناڤێ مرۆڤان | کەسێ کو کارێ چاندن و کێلانا ئەردی دکەت. |
| جۆدی | ناڤێ مرۆڤان | ناڤێ چیایەکێ مەزن و دیرۆکی یە ل باکوورێ کوردستانێ. |
| جیلان | ناڤێ مرۆڤان | ناڤەکێ کوردییە، ڕەنگە ب ڕامانا دارستان و جھێ کەسکاتی بیت. |
| جیھان | ناڤێ مرۆڤان | هەمی دونیا و گەردوون. |
| جێگر | ناڤێ مرۆڤان | ئەو کەسێ کو ل جهێ کەسەکێ دی کار دکەت. |
| چاڤشین | ناڤێ مرۆڤان | کەسێ کو ڕەنگێ چاڤێن وی یێ شین بیت. |
| چالاک | ناڤێ مرۆڤان | کەسێ ب لڤین و خودان وزە. |
| چرا | ناڤێ مرۆڤان | ئامرازێ ڕۆناهیکرنێ ل دەمێ تاریێ. |
| چراڤان | ناڤێ مرۆڤان | ئەو کەسێ کو چرای هەلدکەت و ڕۆناهیێ ددەت. |
| چنار | ناڤێ مرۆڤان | ناڤێ دارەکا بلند و جوانە. |
| چەتۆ | ناڤێ مرۆڤان | ناڤەکێ کوردیێ کەڤنە. |
| چەکدار | ناڤێ مرۆڤان | کەسێ کو چەک هەلگرتییە. |
| چەلەنگ | ناڤێ مرۆڤان | کەسێ جوان، ب هێز و زیرەک. |
| چۆلی | ناڤێ مرۆڤان | کەسێ کو حەز ژ چۆل و دەشتێ دکەت یان ل چۆلێ دژیت. |
| چیاڤان | ناڤێ مرۆڤان | ئەو کەسێ کو سەرکەڤیتە چیا یان ل چیا دژیت. |
| چیایی | ناڤێ مرۆڤان | تشتێ تایبەت ب چیایی ڤە یان ئەو کەسێ خەلکێ چیایی یە. |
| چیمەن | ناڤێ مرۆڤان | گیا و کەسکاتییا کو ل ئەردی شین دبیت. |
| حۆری | ناڤێ مرۆڤان | ژنەکا گەلەک جوان و ئەفسانەیی کو د بەهەشتێ دا هەیە. |
| خاتوون | ناڤێ مرۆڤان | ژنەکا ڕێزدار، خانەدان و دەستهەلاتدار. |
| خاتین | ناڤێ مرۆڤان | نازناڤێ ژنەکا ب ڕێز و قەدر. |
| خانم | ناڤێ مرۆڤان | ژنەکا ب ڕێز و مەزن د ناڤ جڤاکی دا. |
| خانێ | ناڤێ مرۆڤان | ناڤەکێ کوردیێ کچانە، ژ پەیڤا خان هاتییە ب ڕامانا دەستهەلاتدار. |
| خەبات | ناڤێ مرۆڤان | تێکۆشان و بزاڤکرن بۆ بدەستڤەئینانا مافان. |
| خەجێ | ناڤێ مرۆڤان | ناڤێ کەسایەتییەکێ داستانەکا کوردی یە (جەمبەلی و خەجێ). |
| خەزال | ناڤێ مرۆڤان | ئاسک، یان کچەکا جوان کو چاڤێن وێ وەک یێن ئاسکێ بن. |
| خەلات | ناڤێ مرۆڤان | تشتێ کو وەک دیاری و ڕێزگرتن ب کەسەکی دهێتە دان. |
| خەمگین | ناڤێ مرۆڤان | کەسێ کو دلێ وی پڕی خەم و کوڤان بیت. |
| خوناڤ | ناڤێ مرۆڤان | ئەو دلۆپێن ئاڤێ یێن کو ل سپێدێ ل سەر بەلگێن داران پەیدا دبن. |
| خۆزی | ناڤێ مرۆڤان | هیڤی و ئاوات، یان گۆتنا خۆزگە. |
| خۆشی | ناڤێ مرۆڤان | کەیفخۆشی، شادبوون و بێ خەمی. |
| خیال | ناڤێ مرۆڤان | هزر و بیرێن کو ل مێشکێ مرۆڤی دا چێدبن. |
| خێرۆ | ناڤێ مرۆڤان | ناڤەکێ کوردییە، کو ژ خێر و قەنجیێ هاتییە. |
| دابان | ناڤێ مرۆڤان | ب ڕامانا هێز و قەهرەمانی، هەروەسا ناڤێ چیایەکی یە. |
| دابین | ناڤێ مرۆڤان | دەستەبەرکرن و ئامادەکرنا تشتێن پێدڤی. |
| داخواز | ناڤێ مرۆڤان | خواستن و داخوازکرنا تشتەکی یان مافەکی. |
| دادڤان | ناڤێ مرۆڤان | کەسێ کو دادپەروەریێ دکەت و ب ڕاستی حوکم دکەت. |
| دارا | ناڤێ مرۆڤان | کەسێ کو زەنگین بیت یان خودان مال و سامان بیت. |
| دارستان | ناڤێ مرۆڤان | جهەکێ کو پڕی دار و بار بیت. |
| دارڤان | ناڤێ مرۆڤان | ئەو کەسێ کو کارێ بڕین یان سەرپەرشتییا داران دکەت. |
| دارین | ناڤێ مرۆڤان | تشتێ کو ژ دارێ هاتبیتە دروستکرن. |
| داستان | ناڤێ مرۆڤان | چیرۆکەکا درێژ و قەهرەمانانە یا دێرین. |
| داسن | ناڤێ مرۆڤان | ناڤێ هۆزەکا کوردی و دەڤەرەکێ یە. |
| دانا | ناڤێ مرۆڤان | کەسێ ب هزر و ژیر و خودان زانین. |
| دانەر | ناڤێ مرۆڤان | ئەو کەسێ کو تشتەکی دروست دکەت یان ددانێت. |
| داھێنەر | ناڤێ مرۆڤان | کەسێ کو تشتەکێ نوی دروست دکەت یان دئافرینیت. |
| دژوار | ناڤێ مرۆڤان | تشتێ زەحمەت، گران یان کەسێ ب هێز و توڕە. |
| دلاوەر | ناڤێ مرۆڤان | کەسێ نەترس و قەهرەمان کو دلەکێ مەزن هەیە. |
| دلبین | ناڤێ مرۆڤان | کەسێ کو تشتان ب دلێ خوە دبینیت و هەست دکەت. |
| دلپاک | ناڤێ مرۆڤان | کەسێ کو دلێ وی یێ پاقژ و بێ کینە بیت. |
| دلخواز | ناڤێ مرۆڤان | تشتێ دلخواز یان ئەو کەسێ کو مرۆڤ حەز ژێ دکەت. |
| دلدار | ناڤێ مرۆڤان | کەسێ کو د دلێ مرۆڤی دا جهـ گرتتی و ئاشق بیت. |
| دلزار | ناڤێ مرۆڤان | ئەو کەسێ کو دلێ وی ب زار و ناڵینە. |
| دلسۆز | ناڤێ مرۆڤان | کەسێ کو ژ دل کار دکەت و خەمخۆرە. |
| دلڤین | ناڤێ مرۆڤان | لڤینا دلێ مرۆڤی، یان هەستا ڤیانێ د دلیدا. |
| دلناز | ناڤێ مرۆڤان | کەسێ نازک و دل نەرم. |
| دلوار | ناڤێ مرۆڤان | کەسێ دلۆڤان و ب ڕەحم. |
| دلیار | ناڤێ مرۆڤان | دۆست و هەڤالێ دلێ مرۆڤی. |
| دلین | ناڤێ مرۆڤان | ژ دلی یان تشتێ پەیوەندی ب دلی ڤە هەبیت. |
| دلێر | ناڤێ مرۆڤان | کەسێ ب جەرگ، نەترس و قەهرەمان. |
| دمدم | ناڤێ مرۆڤان | ناڤێ قەلایەکا کەڤنە ل ڕۆژهەلاتێ کوردستانێ و داستانەکا کوردی یە. |
| دەرباز | ناڤێ مرۆڤان | کەسێ کو د قۆناغەکێ ڕا دەرباز دبیت و تێپەڕ دبیت. |
| دەروێش | ناڤێ مرۆڤان | کەسێ کو حەز ژ دونیایێ نینە و خوە تەرخان کری بۆ ئایینی. |
| دەریا | ناڤێ مرۆڤان | ئاڤەکا مەزن و کوور و بەرفرەهـ. |
| دەشتى | ناڤێ مرۆڤان | کەسێ کو ل دەشتێ دژیت. |
| دەشتی | ناڤێ مرۆڤان | ئەردێ ڕاست و تەخت یێ بێ چیا. |
| دەلال | ناڤێ مرۆڤان | کەسێ ب قەدر و گەلەک خۆشتڤی. |
| دەلیل | ناڤێ مرۆڤان | بەلگە، ڕێبەر، یان کەسێ کو ڕێیێ نیشان ددەت. |
| دۆمان | ناڤێ مرۆڤان | مژ و مژدار، ڕەنگە ب ڕامانا تاریبوونێ یان مژا چیایی دهێت. |
| دیاکۆ | ناڤێ مرۆڤان | دامەزرێنەرێ ئیمپراتۆرییا مێدییان، ناڤەکێ کوردیێ مێژووییە. |
